,raceId,driverId,lap,position,positionOrder,raceKey,delta_mean,delta_median,Max,Min,Safety,Red_flag,Safety_min,Red_flag_min
0,1052,830,1,1,2,202101,15.66273684210526,16.037000000000006,86.23227112651239,-101.74892105263098,86.23227112651239,,-101.74892105263098,
1,1052,830,2,1,2,202101,13.428684210526285,13.406999999999982,86.23227112651239,-101.74892105263098,86.23227112651239,,-101.74892105263098,
2,1052,830,3,1,2,202101,2.7278421052631074,3.5330000000000155,86.23227112651239,-101.74892105263098,86.23227112651239,,-101.74892105263098,
3,1052,830,4,1,2,202101,13.244315789473603,12.951000000000022,86.23227112651239,-101.74892105263098,86.23227112651239,,-101.74892105263098,
4,1052,830,5,1,2,202101,12.027684210526218,9.784999999999968,86.23227112651239,-101.74892105263098,,,,
5,1052,830,6,1,2,202101,13.752473684210486,11.455000000000041,86.23227112651239,-101.74892105263098,,,,
6,1052,830,7,1,2,202101,15.341578947368362,12.881999999999948,86.23227112651239,-101.74892105263098,,,,
7,1052,830,8,1,2,202101,17.005631578947373,14.679000000000087,86.23227112651239,-101.74892105263098,,,,
8,1052,830,9,1,2,202101,18.903736842105104,16.573999999999955,86.23227112651239,-101.74892105263098,,,,
9,1052,830,10,1,2,202101,20.335263157894587,18.136999999999944,86.23227112651239,-101.74892105263098,,,,
10,1052,830,11,1,2,202101,21.902315789473732,19.687000000000126,86.23227112651239,-101.74892105263098,,,,
11,1052,830,12,1,2,202101,24.784894736842034,21.29600000000005,86.23227112651239,-101.74892105263098,,,,
12,1052,830,13,1,2,202101,31.26852631578936,23.929000000000087,86.23227112651239,-101.74892105263098,,,,
13,1052,830,14,1,2,202101,37.23542105263141,24.97199999999998,86.23227112651239,-101.74892105263098,,,,
14,1052,830,15,1,2,202101,39.87026315789467,24.888999999999896,86.23227112651239,-101.74892105263098,,,,
15,1052,830,16,1,2,202101,42.090894736842074,24.961000000000013,86.23227112651239,-101.74892105263098,,,,
16,1052,830,17,1,2,202101,40.990578947368476,22.97700000000009,86.23227112651239,-101.74892105263098,,,,
17,1052,830,18,2,2,202101,23.465421052631655,4.58400000000006,86.23227112651239,-101.74892105263098,,,,
18,1052,830,19,2,2,202101,26.113894736841985,7.16800000000012,86.23227112651239,-101.74892105263098,,,,
19,1052,830,20,2,2,202101,30.653736842105445,9.745000000000346,86.23227112651239,-101.74892105263098,,,,
20,1052,830,21,2,2,202101,32.9901052631576,12.121999999999844,86.23227112651239,-101.74892105263098,,,,
21,1052,830,22,2,2,202101,34.738368421052655,13.644999999999982,86.23227112651239,-101.74892105263098,,,,
22,1052,830,23,2,2,202101,36.34705263157912,15.365999999999985,86.23227112651239,-101.74892105263098,,,,
23,1052,830,24,2,2,202101,37.96689473684228,16.67800000000034,86.23227112651239,-101.74892105263098,,,,
24,1052,830,25,2,2,202101,40.61315789473656,18.51299999999992,86.23227112651239,-101.74892105263098,,,,
25,1052,830,26,2,2,202101,42.35721052631607,20.240999999999985,86.23227112651239,-101.74892105263098,,,,
26,1052,830,27,2,2,202101,43.94610526315773,21.69699999999966,86.23227112651239,-101.74892105263098,,,,
27,1052,830,28,1,2,202101,45.69315789473694,23.41300000000001,86.23227112651239,-101.74892105263098,,,,
28,1052,830,29,1,2,202101,49.60973684210512,25.117999999999938,86.23227112651239,-101.74892105263098,,,,
29,1052,830,30,1,2,202101,53.13894736842076,26.452999999999975,86.23227112651239,-101.74892105263098,,,,
30,1052,830,31,1,2,202101,57.289000000000215,27.914000000000215,86.23227112651239,-101.74892105263098,,,,
31,1052,830,32,1,2,202101,60.22357894736842,29.152000000000044,86.23227112651239,-101.74892105263098,,,,
32,1052,830,33,1,2,202101,65.10552339181277,30.727499999999964,86.23227112651239,-101.74892105263098,,,,
33,1052,830,34,1,2,202101,68.97080116959069,31.11700000000019,86.23227112651239,-101.74892105263098,,,,
34,1052,830,35,1,2,202101,69.45946783625732,31.476000000000113,86.23227112651239,-101.74892105263098,,,,
35,1052,830,36,1,2,202101,70.01607894736844,31.60050000000001,86.23227112651239,-101.74892105263098,,,,
36,1052,830,37,1,2,202101,71.52691228070171,31.755499999999756,86.23227112651239,-101.74892105263098,,,,
37,1052,830,38,1,2,202101,72.60974561403509,31.86200000000008,86.23227112651239,-101.74892105263098,,,,
38,1052,830,39,1,2,202101,72.0748011695905,30.253999999999905,86.23227112651239,-101.74892105263098,,,,
39,1052,830,40,2,2,202101,56.562801169590784,12.78500000000031,86.23227112651239,-101.74892105263098,,,,
40,1052,830,41,2,2,202101,58.76524561403494,14.966999999999643,86.23227112651239,-101.74892105263098,,,,
41,1052,830,42,2,2,202101,60.867467836256765,16.93449999999939,86.23227112651239,-101.74892105263098,,,,
42,1052,830,43,2,2,202101,62.94074561403522,18.902500000000146,86.23227112651239,-101.74892105263098,,,,
43,1052,830,44,2,2,202101,66.17263450292376,20.946500000000015,86.23227112651239,-101.74892105263098,,,,
44,1052,830,45,2,2,202101,67.89391228070235,22.39100000000053,86.23227112651239,-101.74892105263098,,,,
45,1052,830,46,2,2,202101,69.72757894736878,23.858000000000175,86.23227112651239,-101.74892105263098,,,,
46,1052,830,47,2,2,202101,71.36107894736779,25.105499999999665,86.23227112651239,-101.74892105263098,,,,
47,1052,830,48,2,2,202101,72.96813450292393,26.45350000000053,86.23227112651239,-101.74892105263098,,,,
48,1052,830,49,2,2,202101,74.98813450292437,28.35900000000038,86.23227112651239,-101.74892105263098,,,,
49,1052,830,50,2,2,202101,77.33369005847999,29.689000000000306,86.23227112651239,-101.74892105263098,,,,
